"Date","Time","Open","High","Low","Close","Volume"
01/07/2019,1331,147.07,147.1,146.97,146.98,69244
01/07/2019,1332,146.98,147.16,146.92,147.15,104954
01/07/2019,1333,147.15,147.18,147.01,147.06,76201
01/07/2019,1334,147.08,147.14,146.97,147.13,72991
01/07/2019,1335,147.14,147.17,146.99,147.09,69710
01/07/2019,1336,147.1,147.12,146.91,147,71117
01/07/2019,1337,146.99,147.05,146.92,147.04,54452
01/07/2019,1338,147.03,147.07,146.98,147.05,52891
01/07/2019,1339,147.05,147.08,146.96,147.07,44981
01/07/2019,1340,147.07,147.17,147.03,147.14,102880
01/07/2019,1341,147.15,147.19,147.05,147.16,49180
01/07/2019,1342,147.15,147.34,147.14,147.24,79709
01/07/2019,1343,147.25,147.28,147.16,147.23,45995
01/07/2019,1344,147.24,147.26,147.17,147.22,32462
01/07/2019,1345,147.22,147.25,147.15,147.18,38971
01/07/2019,1346,147.18,147.26,147.05,147.05,54102
01/07/2019,1347,147.06,147.07,146.86,146.88,145416
01/07/2019,1348,146.86,147.01,146.84,146.94,68297
01/07/2019,1349,146.94,147.01,146.9,146.98,49077
01/07/2019,1350,146.98,146.99,146.83,146.83,80704
01/07/2019,1351,146.82,146.84,146.73,146.75,115489
01/07/2019,1352,146.76,146.87,146.7,146.83,104586
01/07/2019,1353,146.82,146.83,146.61,146.73,71186
01/07/2019,1354,146.71,146.9,146.66,146.88,81465
01/07/2019,1355,146.89,147,146.78,146.95,112351
01/07/2019,1356,146.96,147.03,146.93,146.97,62398
01/07/2019,1357,146.98,146.98,146.8,146.85,60128
01/07/2019,1358,146.84,146.84,146.7,146.83,58678
01/07/2019,1359,146.82,146.89,146.75,146.85,37225
01/07/2019,1400,146.85,146.91,146.83,146.87,57108
01/07/2019,1401,146.86,147.04,146.86,147.04,65397
01/07/2019,1402,147.04,147.16,147,147.16,55413
01/07/2019,1403,147.16,147.19,147.05,147.07,45809
01/07/2019,1404,147.06,147.08,146.97,147.02,44241
01/07/2019,1405,147.02,147.06,146.98,147,44137
01/07/2019,1406,147.01,147.04,146.87,146.97,59135
01/07/2019,1407,146.98,147,146.93,146.98,64033
01/07/2019,1408,146.98,146.98,146.73,146.74,83625
01/07/2019,1409,146.75,146.82,146.71,146.78,56215
01/07/2019,1410,146.78,146.81,146.63,146.68,101319
01/07/2019,1411,146.68,146.75,146.68,146.74,45502
01/07/2019,1412,146.74,146.76,146.67,146.74,59704
01/07/2019,1413,146.74,146.93,146.72,146.91,59824
01/07/2019,1414,146.89,146.94,146.86,146.91,49458
01/07/2019,1415,146.92,146.97,146.76,146.95,98790
01/07/2019,1416,146.95,147.1,146.94,146.96,85912
01/07/2019,1417,146.95,147.05,146.94,146.96,54443
